,Name,Age,date,nationality,club,fee_y,position,market,match,goal,assist,minute,miss,clean,height,join,contract,href
473,Adrià Pedrosa,24,"May 13, 1998",Spain,ESPANYOL,,Left-Back,9.0,33,2,2,2933,0,0,1.72,"Jul 1, 2019","Jun 30, 2023",/adria-pedrosa/profil/spieler/501418
475,Óscar Gil,24,"Apr 26, 1998",Spain,ESPANYOL,,Right-Back,3.0,24,0,2,1826,0,0,1.75,"Sep 7, 2020","Jun 30, 2024",/oscar-gil/profil/spieler/544106
477,Aleix Vidal,32,"Aug 21, 1989",Spain,ESPANYOL,,Right-Back,2.0,34,2,0,2083,0,0,1.77,"Aug 18, 2021","Jun 30, 2023",/aleix-vidal/profil/spieler/88490
479,Rubén Sánchez,21,"Feb 4, 2001 ",Spain,ESPANYOL,,Right-Back,0.25,35,3,1,2360,0,0,1.85,"Jul 1, 2022","Jun 30, 2024",/ruben-sanchez/profil/spieler/705813
481,Sergi Darder,28,"Dec 22, 1993",Spain,ESPANYOL,,Central Midfield,14.0,39,3,10,3349,0,0,1.8,"Jul 1, 2018","Jun 30, 2026",/sergi-darder/profil/spieler/142021
484,Keidi Bare,24,"Aug 28, 1997",Albania,ESPANYOL,,Central Midfield,4.0,28,1,2,1716,0,0,1.74,"Sep 22, 2020","Jun 30, 2024",/keidi-bare/profil/spieler/295622
486,Roger Martínez,18,"Apr 5, 2004 ",Spain,ESPANYOL,,Central Midfield,0.3,28,1,0,2236,0,0,1.77,-,"Jun 30, 2025",/roger-martinez/profil/spieler/646746
487,Dani Villahermosa,21,"Jan 2, 2001 ",Spain,ESPANYOL,,Central Midfield,0.25,31,5,0,2672,0,0,1.74,-,"Jun 30, 2023",/dani-villahermosa/profil/spieler/628496
488,Alejandro Pérez,21,"Jan 7, 2001 ",Spain,ESPANYOL,,Central Midfield,0.2,8,0,0,556,0,0,-,-,"Jun 30, 2025",/alejandro-perez/profil/spieler/548187
490,Gori,20,"May 15, 2002",Spain,ESPANYOL,,Attacking Midfield,0.15,5,0,0,249,0,0,-,-,"Jun 30, 2024",/gori/profil/spieler/705815
491,Javi Puado,24,"May 25, 1998",Spain,ESPANYOL,,Left Winger,8.0,33,5,1,2464,0,0,1.77,"Jul 1, 2018","Jun 30, 2025",/javi-puado/profil/spieler/408471
