,Name,Age,date,nationality,club,fee_y,position,market,match,goal,assist,minute,miss,clean,height,href,join,contract
157,Miguel Baeza,22,"Mar 27, 2000",Spain,CELTA,out,Attacking Midfield,1.0,16,0,1,523,0,0,1.77,/miguel-baeza/profil/spieler/523977,"Aug 15, 2020","Jun 30, 2023"
158,Nolito,35,"Oct 15, 1986",Spain,CELTA,out,Left Winger,0.6,35,2,1,1597,0,0,1.75,/nolito/profil/spieler/70934,"Jun 18, 2020","Jun 30, 2024"
159,Alfon González,23,"May 4, 1999 ",Spain,CELTA,out,Left Winger,0.3,35,8,2,2138,0,0,1.72,/alfon-gonzalez/profil/spieler/357628,"Jul 1, 2022","Jun 30, 2023"
163,Raúl de Tomás,27,"Oct 17, 1994",Spain,ESPANYOL,8.0,Centre-Forward,12.0,36,17,3,3089,0,0,1.8,/raul-de-tomas/profil/spieler/162038,"Jan 9, 2020","Jun 30, 2027"
164,Matías Vargas,25,"May 8, 1997 ",Argentina,ESPANYOL,4.0,Left Winger,6.0,60,6,25,4350,0,0,1.68,/matias-vargas/profil/spieler/376211,"Jul 14, 2019","Jun 30, 2024"
165,Lei Wu,30,"Nov 19, 1991",China,ESPANYOL,1.5,Left Winger,2.0,43,15,3,1772,0,0,1.74,/lei-wu/profil/spieler/140436,"Jan 28, 2019","Jul 31, 2027"
166,Adrián Embarba,30,"May 7, 1992 ",Spain,ESPANYOL,1.0,Right Winger,3.0,34,0,2,2129,0,0,1.73,/adrian-embarba/profil/spieler/288318,"Jan 23, 2020","Jun 30, 2026"
167,Tonny Vilhena,27,"Jan 3, 1995 ",Netherlands,ESPANYOL,0.3,Central Midfield,3.8,32,3,2,2103,0,0,1.75,/tonny-vilhena/profil/spieler/182581,"Jul 13, 2022","Jun 30, 2023"
168,Diego López,40,"Nov 3, 1981 ",Spain,ESPANYOL,out,Goalkeeper,0.5,38,0,0,3388,52,11,1.96,/diego-lopez/profil/spieler/34370,"Jul 1, 2017","Jun 30, 2023"
169,Fran Mérida,32,"Mar 4, 1990 ",Spain,ESPANYOL,out,Central Midfield,0.8,31,4,2,1687,0,0,1.73,/fran-merida/profil/spieler/42920,"Aug 19, 2020","Dec 31, 2023"
170,David López,32,"Oct 9, 1989 ",Spain,ESPANYOL,out,Centre-Back,2.0,18,0,0,738,0,0,1.85,/david-lopez/profil/spieler/129444,"Aug 26, 2016","Jun 30, 2023"
171,Óscar Melendo,24,"Aug 23, 1997",Spain,ESPANYOL,out,Attacking Midfield,2.0,24,0,1,1204,0,0,1.67,/oscar-melendo/profil/spieler/448344,"Jul 1, 2017","Jun 30, 2023"
172,Oier Olazábal,32,"Sep 14, 1989",Spain,ESPANYOL,out,Goalkeeper,0.25,2,0,0,134,1,1,1.89,/oier-olazabal/profil/spieler/8176,"Jan 31, 2020",-
173,Jofre Carreras,21,"Jun 17, 2001",Spain,ESPANYOL,out,Right Winger,0.1,22,3,1,1200,0,0,1.75,/jofre-carreras/profil/spieler/628498,"Jul 1, 2022","Jun 30, 2023"
174,Álvaro Vadillo,27,"Sep 12, 1994",Spain,ESPANYOL,out,Left Winger,0.6,20,3,2,913,0,0,1.8,/alvaro-vadillo/profil/spieler/162074,"Jul 1, 2021","Jun 30, 2023"
175,Miguel Llambrich,26,"Jan 18, 1996",Spain,ESPANYOL,out,Right-Back,0.6,4,0,0,250,0,0,1.7,/miguel-llambrich/profil/spieler/399775,"Jul 1, 2021","Jun 30, 2023"
176,Víctor Gómez,22,"Apr 1, 2000 ",Spain,ESPANYOL,out,Right-Back,4.0,37,0,5,3021,0,0,1.69,/victor-gomez/profil/spieler/495601,"Oct 1, 2019","Jun 30, 2023"
177,Landry Dimata,24,"Sep 1, 1997 ",Belgium,ESPANYOL,out,Centre-Forward,2.0,19,0,0,624,0,0,1.85,/landry-dimata/profil/spieler/311489,"Jul 1, 2021","Jun 30, 2023"
178,Dídac Vilà,33,"Jun 9, 1989 ",Spain,ESPANYOL,out,Left-Back,0.3,11,0,1,375,0,0,1.85,/didac-vila/profil/spieler/67090,"Aug 30, 2017",-
183,Luca Zidane,24,"May 13, 1998",France,RAYO VALLECANO,out,Goalkeeper,2.0,13,0,0,1126,17,2,1.83,/luca-zidane/profil/spieler/283489,"Oct 5, 2020","Jun 30, 2024"
184,Sergio Moreno,23,"Jan 1, 1999 ",Spain,RAYO VALLECANO,out,Centre-Forward,0.4,18,1,0,675,0,0,1.78,/sergio-moreno/profil/spieler/607779,"Jul 1, 2019","Jun 30, 2023"
185,Joni Montiel,23,"Sep 3, 1998 ",Spain,RAYO VALLECANO,out,Attacking Midfield,0.8,29,3,4,599,0,0,1.73,/joni-montiel/profil/spieler/343273,"Jul 1, 2017","Jun 30, 2024"
186,Jorge Moreno,20,"Jul 25, 2001",Spain,RAYO VALLECANO,out,Centre-Back,0.5,32,3,0,2501,0,0,1.84,/jorge-moreno/profil/spieler/717957,"Jul 1, 2021","Jun 30, 2023"
187,Martín Pascual,22,"Aug 4, 1999 ",Spain,RAYO VALLECANO,out,Centre-Back,0.2,24,0,0,1510,0,0,1.9,/martin-pascual/profil/spieler/638588,"Aug 1, 2020","Jun 30, 2024"
188,Lass Bangoura,30,"Mar 30, 1992",Guinea,RAYO VALLECANO,out,Right Winger,0.15,18,1,0,891,0,0,1.69,/lass-bangoura/profil/spieler/182963,"Aug 1, 2011","Jun 30, 2023"
189,Iván Arboleda,26,"Apr 21, 1996",Colombia,RAYO VALLECANO,out,Goalkeeper,1.5,8,0,0,720,11,3,1.85,/ivan-arboleda/profil/spieler/260740,"Sep 4, 2021",-
196,Mathías Olivera,24,"Oct 31, 1997",Uruguay,GETAFE,16.5,Left-Back,15.0,32,1,3,2807,0,0,1.85,/mathias-olivera/profil/spieler/376514,"Aug 14, 2017","Jun 30, 2027"
