,Name,Age,date,nationality,club,fee_y,position,market,match,goal,assist,minute,miss,clean,height,join,contract,href
607,Baptiste Boît,20,"Nov 17, 2001",France,CLERMONT,,Centre-Back,0.1,21,2,0,1890,0,0,1.87,-,"Jun 30, 2023",/baptiste-boit/profil/spieler/912601
609,Arial Mendy,27,"Nov 7, 1994 ",Senegal,CLERMONT,,Left-Back,0.7,22,0,0,1104,0,0,1.8,"Jul 13, 2021","Jun 30, 2025",/arial-mendy/profil/spieler/422715
613,Karim Mohamed,21,"Apr 2, 2001 ",Comoros,CLERMONT,,Right-Back,0.1,15,1,1,1008,0,0,1.78,-,-,/karim-mohamed/profil/spieler/942083
614,Oliver Kamdem,19,"Oct 15, 2002",France,CLERMONT,,Right-Back,0.1,14,0,1,963,0,0,-,"Jul 1, 2022","Jun 30, 2023",/oliver-kamdem/profil/spieler/969154
616,Yohann Magnin,25,"Jun 21, 1997",France,CLERMONT,,Defensive Midfield,2.0,29,1,1,2048,0,0,1.83,"Jan 25, 2019","Jun 30, 2025",/yohann-magnin/profil/spieler/594997
618,Johan Gastien,34,"Jan 25, 1988",France,CLERMONT,,Defensive Midfield,0.8,33,0,1,2842,0,0,1.79,"Jul 1, 2018","Jun 30, 2025",/johan-gastien/profil/spieler/72121
623,Jim Allevinah,27,"Feb 27, 1995",Gabon,CLERMONT,,Right Midfield,2.0,30,1,3,1481,0,0,1.72,"Jul 1, 2019","Jun 30, 2024",/jim-allevinah/profil/spieler/646733
624,Saîf-Eddine Khaoui,27,"Apr 27, 1995",Tunisia,CLERMONT,,Attacking Midfield,1.5,24,2,2,988,0,0,1.8,"Aug 14, 2021","Jun 30, 2023",/saif-eddine-khaoui/profil/spieler/270411
627,Aïman Maurer,17,"Sep 25, 2004",Morocco,CLERMONT,,Attacking Midfield,0.1,14,4,1,972,0,0,1.73,"Feb 1, 2023","Jun 30, 2025",/aiman-maurer/profil/spieler/860056
628,Elbasan Rashani,29,"May 9, 1993 ",Kosovo,CLERMONT,,Left Winger,2.5,31,8,3,1884,0,0,1.81,"Jul 16, 2021","Jun 30, 2025",/elbasan-rashani/profil/spieler/149579
631,Jodel Dossou,30,"Mar 17, 1992",Benin,CLERMONT,,Right Winger,1.8,37,3,1,2133,0,0,1.71,"Aug 15, 2020","Jun 30, 2025",/jodel-dossou/profil/spieler/221151
632,Aboubakar Sidibé,26,"May 3, 1996 ",France,CLERMONT,,Right Winger,0.15,13,1,0,819,0,0,1.8,-,-,/aboubakar-sidibe/profil/spieler/503518
635,Grejohn Kyei,26,"Aug 12, 1995",France,CLERMONT,,Centre-Forward,1.2,34,7,3,1843,0,0,1.87,"Jan 31, 2022","Jun 30, 2024",/grejohn-kyei/profil/spieler/321647
