,Name,Age,date,nationality,club,fee_y,position,market,match,goal,assist,minute,miss,clean,height,href,join,contract
84,Marvin Obuz,20,"Jan 25, 2002",Germany,KÖLN,out,Left Winger,0.3,28,7,4,2331,0,0,1.82,/marvin-obuz/profil/spieler/522084,"Jul 1, 2017","Jun 30, 2023"
85,Bright Arrey-Mbi,19,"Mar 26, 2003",Germany,KÖLN,"End of loanAug 29, 2022",Centre-Back,1.0,28,2,0,2329,0,0,1.87,/bright-arrey-mbi/profil/spieler/580193,"Jul 1, 2018","Jun 30, 2024"
86,Luca Kilian,22,"Sep 1, 1999 ",Germany,KÖLN,"End of loanJun 30, 2022",Centre-Back,4.5,32,1,0,2401,0,0,1.92,/luca-kilian/profil/spieler/384553,"Jul 1, 2021","Jun 30, 2023"
87,St. Juste,25,"Oct 19, 1996",Netherlands,MAINZ,10.0,Centre-Back,13.0,9,1,0,724,0,0,1.86,/st-juste/profil/spieler/288253,"Jan 31, 2022","Jun 30, 2023"
88,Moussa Niakhaté,26,"Mar 8, 1996 ",Senegal,MAINZ,10.0,Centre-Back,18.0,33,4,0,2815,0,0,1.9,/moussa-niakhate/profil/spieler/291200,"Jul 1, 2022","Jun 30, 2025"
89,Luca Kilian,22,"Sep 1, 1999 ",Germany,MAINZ,2.0,Centre-Back,4.5,32,1,0,2401,0,0,1.92,/luca-kilian/profil/spieler/384553,"Aug 7, 2019","Jun 30, 2026"
90,David Nemeth,21,"Mar 18, 2001",Austria,MAINZ,1.3,Centre-Back,2.0,7,0,0,428,0,0,1.91,/david-nemeth/profil/spieler/451906,"Jul 7, 2018","Jun 30, 2025"
91,Dimitri Lavalée,25,"Jan 13, 1997",Belgium,MAINZ,0.75,Centre-Back,0.75,31,1,0,2584,0,0,1.87,/dimitri-lavalee/profil/spieler/420890,"Aug 10, 2020","Jun 30, 2025"
92,Jonathan Meier,22,"Nov 11, 1999",Germany,MAINZ,0.2,Left-Back,0.4,20,0,0,770,0,0,1.81,/jonathan-meier/profil/spieler/379989,"Jul 1, 2021","Jun 30, 2026"
93,Kevin Stöger,28,"Aug 27, 1993",Austria,MAINZ,out,Attacking Midfield,2.5,25,1,1,537,0,0,1.75,/kevin-stoger/profil/spieler/106872,"Jul 1, 2020","Jun 30, 2024"
94,Jean-Paul Boëtius,28,"Mar 22, 1994",Netherlands,MAINZ,out,Attacking Midfield,3.0,36,2,4,2024,0,0,1.78,/jean-paul-boetius/profil/spieler/182574,"Jul 1, 2019","Jun 30, 2023"
95,Paul Nebel,19,"Oct 10, 2002",Germany,MAINZ,out,Right Winger,1.8,24,3,2,1292,0,0,1.69,/paul-nebel/profil/spieler/503160,"Oct 7, 2020","Jun 30, 2024"
96,Ronaël Pierre-Gabriel,24,"Jun 13, 1998",France,MAINZ,out,Right-Back,4.5,31,0,1,2646,0,0,1.77,/ronael-pierre-gabriel/profil/spieler/410185,"Aug 27, 2018","Jun 30, 2025"
97,Anderson Lucoqui,25,"Jul 6, 1997 ",Angola,MAINZ,out,Left-Back,1.0,15,1,0,891,0,0,1.8,/anderson-lucoqui/profil/spieler/240274,"Jul 1, 2020","Jun 30, 2023"
98,Issah Abass,23,"Sep 26, 1998",Ghana,MAINZ,out,Left Winger,0.6,34,7,3,1841,0,0,1.73,/issah-abass/profil/spieler/482145,"Jul 1, 2019","Jun 30, 2024"
99,Daniel Brosinski,33,"Jul 17, 1988",Germany,MAINZ,out,Right-Back,0.3,12,0,0,421,0,0,1.78,/daniel-brosinski/profil/spieler/43984,"Jul 1, 2021","Jun 30, 2023"
100,Merveille Papela,21,"Jan 18, 2001",Germany,MAINZ,out,Central Midfield,1.0,23,6,2,1529,0,0,1.74,/merveille-papela/profil/spieler/405689,"Aug 31, 2018","Jun 30, 2023"
101,Delano Burgzorg,23,"Nov 7, 1998 ",Netherlands,MAINZ,"End of loanJun 30, 2022",Left Winger,2.0,21,5,0,1259,0,0,1.86,/delano-burgzorg/profil/spieler/436585,"Jul 3, 2014","Jun 30, 2023"
102,Marcus Ingvartsen,26,"Jan 4, 1996 ",Denmark,MAINZ,"End of loanJun 30, 2022",Centre-Forward,3.5,32,7,0,893,0,0,1.87,/marcus-ingvartsen/profil/spieler/269878,"Sep 26, 2019","Jun 30, 2023"
