,Name,Age,date,nationality,club,fee_y,position,market,match,goal,assist,minute,miss,clean,height,href,join,contract
512,Carmine Iannone,21,"Jul 19, 2001",Italy,SALERNITANA,out,Centre-Forward,0.025,16,1,1,560,0,0,1.87,/carmine-iannone/profil/spieler/542394,"Jun 30, 2022","Jun 30, 2023"
513,Frédéric Veseli,29,"Nov 20, 1992",Albania,SALERNITANA,out,Centre-Back,0.35,9,0,0,597,0,0,1.83,/frederic-veseli/profil/spieler/111433,"Sep 1, 2020","Jun 30, 2023"
514,Riccardo Gagliolo,32,"Apr 28, 1990",Sweden,SALERNITANA,out,Centre-Back,0.9,20,0,1,1404,0,0,1.8,/riccardo-gagliolo/profil/spieler/240786,"Aug 31, 2021","Jun 30, 2024"
515,Edoardo Vergani,21,"Feb 6, 2001 ",Italy,SALERNITANA,out,Centre-Forward,0.5,7,0,0,163,0,0,1.86,/edoardo-vergani/profil/spieler/421780,"Aug 31, 2021","Jun 30, 2023"
516,Giuseppe Fella,28,"Aug 11, 1993",Italy,SALERNITANA,out,Second Striker,0.3,34,7,1,1451,0,0,1.77,/giuseppe-fella/profil/spieler/199896,"Sep 24, 2020","Jun 30, 2023"
517,Michele Cavion,27,"Dec 8, 1994 ",Italy,SALERNITANA,out,Central Midfield,0.4,31,2,2,1756,0,0,1.8,/michele-cavion/profil/spieler/199971,"Jul 12, 2021","Jun 30, 2025"
518,Antonio Russo,22,"Feb 1, 2000 ",Italy,SALERNITANA,out,Goalkeeper,0.05,1,0,0,90,1,0,1.88,/antonio-russo/profil/spieler/541282,"Jun 30, 2020","Jun 30, 2023"
519,Francesco Di Tacchio,32,"Apr 20, 1990",Italy,SALERNITANA,out,Defensive Midfield,0.4,20,0,0,1378,0,0,1.86,/francesco-di-tacchio/profil/spieler/84766,"Aug 9, 2018","Jun 30, 2023"
520,Kaleb Jiménez,19,"Oct 18, 2002",Spain,SALERNITANA,out,Central Midfield,0.175,34,3,4,2070,0,0,1.8,/kaleb-jimenez/profil/spieler/724437,"Aug 30, 2021","Jun 30, 2024"
521,Valerio Mantovani,26,"Apr 18, 1996",Italy,SALERNITANA,out,Centre-Back,0.7,22,1,0,1596,0,0,1.84,/valerio-mantovani/profil/spieler/324378,"Jul 16, 2016","Jun 30, 2024"
522,Mikael,23,"May 28, 1999",Brazil,SALERNITANA,out,Centre-Forward,1.7,11,5,0,315,0,0,1.84,/mikael/profil/spieler/642689,"Jan 31, 2022","Jun 30, 2023"
523,Edoardo Iannoni,21,"Apr 11, 2001",Italy,SALERNITANA,out,Central Midfield,0.45,38,3,2,2995,0,0,1.85,/edoardo-iannoni/profil/spieler/700053,"Sep 1, 2020","Jun 30, 2024"
524,Simy,30,"May 7, 1992 ",Nigeria,SALERNITANA,out,Centre-Forward,1.0,32,2,4,1540,0,0,1.98,/simy/profil/spieler/194549,"Aug 19, 2021","Jun 30, 2023"
525,Reda Boultam,24,"Mar 3, 1998 ",Netherlands,SALERNITANA,out,Attacking Midfield,0.5,23,0,0,1170,0,0,1.87,/reda-boultam/profil/spieler/360516,"Feb 1, 2021","Jun 30, 2023"
526,Franck Ribéry,39,"Apr 7, 1983 ",France,SALERNITANA,out,Left Winger,,23,0,3,1424,0,0,1.7,/franck-ribery/profil/spieler/22068,"Sep 6, 2021","Jun 30, 2023"
527,Gioacchino Galeotafiore,22,"Feb 15, 2000",Italy,SALERNITANA,out,Centre-Back,0.125,30,1,1,2262,0,0,-,/gioacchino-galeotafiore/profil/spieler/397721,"Jun 30, 2021","Jun 30, 2023"
528,Diego Perotti,33,"Jul 26, 1988",Argentina,SALERNITANA,out,Left Winger,0.3,11,0,0,278,0,0,1.79,/diego-perotti/profil/spieler/54984,"Feb 2, 2022","Jun 30, 2023"
529,Mirko Esposito,26,"Apr 8, 1996 ",Italy,SALERNITANA,out,Right-Back,0.125,17,0,0,1244,0,0,1.72,/mirko-esposito/profil/spieler/287636,"Jul 1, 2019","Jun 30, 2023"
