,Name,Age,date,nationality,club,fee_y,position,market,match,goal,assist,minute,miss,clean,height,join,contract,href
188,Kevin Behrens,31,"Feb 3, 1991 ",Germany,UNION BERLIN,,Centre-Forward,0.9,34,6,4,916,0,0,1.85,"Jul 1, 2021","Jun 30, 2024",/kevin-behrens/profil/spieler/117432
191,Mark Flekken,29,"Jun 13, 1993",Netherlands,FREIBURG,,Goalkeeper,7.0,37,0,0,3390,43,11,1.95,"Jul 1, 2018",-,/mark-flekken/profil/spieler/125714
192,Noah Atubolu,20,"May 25, 2002",Germany,FREIBURG,,Goalkeeper,1.5,31,0,0,2790,34,13,1.9,"Jul 1, 2021",-,/noah-atubolu/profil/spieler/526845
193,Benjamin Uphoff,28,"Aug 8, 1993 ",Germany,FREIBURG,,Goalkeeper,0.5,4,0,0,390,10,0,1.92,"Aug 5, 2020","Jun 30, 2023",/benjamin-uphoff/profil/spieler/120296
195,Philipp Lienhart,25,"Jul 11, 1996",Austria,FREIBURG,,Centre-Back,18.0,38,5,0,3408,0,0,1.89,"Jul 1, 2018","Jun 30, 2024",/philipp-lienhart/profil/spieler/225657
196,Keven Schlotterbeck,25,"Apr 28, 1997",Germany,FREIBURG,,Centre-Back,3.0,15,1,0,532,0,0,1.89,"Jul 1, 2018","Jun 30, 2023",/keven-schlotterbeck/profil/spieler/413843
198,Manuel Gulde,31,"Feb 12, 1991",Germany,FREIBURG,,Centre-Back,1.7,25,0,0,1546,0,0,1.84,"Jul 1, 2016",-,/manuel-gulde/profil/spieler/45683
199,Kenneth Schmidt,20,"Jun 3, 2002 ",Germany,FREIBURG,,Centre-Back,0.5,28,0,1,2352,0,0,1.87,"Jan 1, 2023",-,/kenneth-schmidt/profil/spieler/527276
200,Christian Günter,29,"Feb 28, 1993",Germany,FREIBURG,,Left-Back,12.0,40,2,10,3690,0,0,1.84,"Jul 1, 2012",-,/christian-gunter/profil/spieler/93707
201,Kimberly Ezekwem,21,"Jun 19, 2001",Germany,FREIBURG,,Left-Back,0.3,14,0,0,892,0,0,1.87,"Jul 1, 2021",-,/kimberly-ezekwem/profil/spieler/453865
202,Hugo Siquet,19,"Jul 9, 2002 ",Belgium,FREIBURG,,Right-Back,5.5,22,1,2,1743,0,0,1.8,"Jan 1, 2022","Jun 30, 2023",/hugo-siquet/profil/spieler/578680
203,Lukas Kübler,29,"Aug 30, 1992",Germany,FREIBURG,,Right-Back,2.3,33,2,0,2743,0,0,1.82,"Jul 1, 2015",-,/lukas-kubler/profil/spieler/93604
204,Kiliann Sildillia,20,"May 16, 2002",France,FREIBURG,,Right-Back,1.5,25,1,0,1539,0,0,1.86,"Jul 1, 2021","Jun 30, 2024",/kiliann-sildillia/profil/spieler/548348
205,Jonathan Schmid,32,"Jun 22, 1990",France,FREIBURG,,Right-Back,1.2,17,1,1,862,0,0,1.79,"Jul 1, 2019",-,/jonathan-schmid/profil/spieler/70285
206,Yannik Keitel,22,"Feb 15, 2000",Germany,FREIBURG,,Defensive Midfield,4.0,14,0,0,593,0,0,1.86,"Apr 16, 2020","Jun 30, 2024",/yannik-keitel/profil/spieler/342039
207,Nicolas Höfler,32,"Mar 9, 1990 ",Germany,FREIBURG,,Defensive Midfield,2.5,35,3,7,3112,0,0,1.81,"Jul 1, 2010",-,/nicolas-hofler/profil/spieler/55099
208,Yannik Engelhardt,21,"Feb 7, 2001 ",Germany,FREIBURG,,Defensive Midfield,0.4,29,1,4,2476,0,0,1.84,-,"Jun 30, 2023",/yannik-engelhardt/profil/spieler/405670
209,Baptiste Santamaria,27,"Mar 9, 1995 ",France,FREIBURG,,Central Midfield,14.0,47,2,2,3388,0,0,1.83,"Sep 17, 2020","Jun 30, 2025",/baptiste-santamaria/profil/spieler/285323
210,Maximilian Eggestein,25,"Dec 8, 1996 ",Germany,FREIBURG,,Central Midfield,8.0,40,3,2,3064,0,0,1.81,"Aug 18, 2021","Jun 30, 2025",/maximilian-eggestein/profil/spieler/190284
212,Robert Wagner,18,"Jul 14, 2003",Germany,FREIBURG,,Central Midfield,0.5,30,3,2,2505,0,0,1.81,"Jul 1, 2022","Jun 30, 2024",/robert-wagner/profil/spieler/690429
213,Vincenzo Grifo,29,"Apr 7, 1993 ",Italy,FREIBURG,,Left Winger,12.0,40,13,8,3315,0,0,1.8,"Sep 2, 2019",-,/vincenzo-grifo/profil/spieler/185077
214,Noah Weißhaupt,20,"Sep 20, 2001",Germany,FREIBURG,,Left Winger,1.7,24,3,3,1125,0,0,1.81,"Jul 1, 2021",-,/noah-weisshaupt/profil/spieler/392163
215,Roland Sallai,25,"May 22, 1997",Hungary,FREIBURG,,Right Winger,12.0,36,5,6,1784,0,0,1.83,"Aug 31, 2018","Jun 30, 2025",/roland-sallai/profil/spieler/332798
216,Kevin Schade,20,"Nov 27, 2001",Germany,FREIBURG,,Right Winger,7.0,25,7,2,1084,0,0,1.85,"Jul 1, 2021","Jun 30, 2023",/kevin-schade/profil/spieler/473050
217,Woo-yeong Jeong,22,"Sep 20, 1999","Korea, South",FREIBURG,,Second Striker,5.5,37,5,2,2089,0,0,1.79,"Jul 1, 2019","Jun 30, 2025",/woo-yeong-jeong/profil/spieler/297583
218,Lucas Höler,27,"Jul 10, 1994",Germany,FREIBURG,,Centre-Forward,6.5,40,7,9,3029,0,0,1.84,"Jan 1, 2018",-,/lucas-holer/profil/spieler/248999
220,Nils Petersen,33,"Dec 6, 1988 ",Germany,FREIBURG,,Centre-Forward,1.5,27,7,1,813,0,0,1.88,"Jul 1, 2015",-,/nils-petersen/profil/spieler/42936
221,Vincent Vermeij,27,"Aug 9, 1994 ",Netherlands,FREIBURG,,Centre-Forward,0.4,29,11,2,1798,0,0,1.96,-,"Jun 30, 2023",/vincent-vermeij/profil/spieler/273054
223,Marvin Schwäbe,27,"Apr 25, 1995",Germany,KÖLN,,Goalkeeper,4.0,24,0,0,2220,30,4,1.9,"Jul 1, 2021","Jun 30, 2024",/marvin-schwabe/profil/spieler/160929
224,Timo Horn,29,"May 12, 1993",Germany,KÖLN,,Goalkeeper,2.0,13,0,0,1170,21,1,1.92,"Jul 1, 2011","Jun 30, 2023",/timo-horn/profil/spieler/84938
225,Jonas Urbig,18,"Aug 8, 2003 ",Germany,KÖLN,,Goalkeeper,0.3,26,0,0,2340,34,7,1.89,"Jul 1, 2022","Jun 30, 2024",/jonas-urbig/profil/spieler/607720
226,Matthias Köbbing,25,"May 28, 1997",Germany,KÖLN,,Goalkeeper,0.025,-,0,0,0,0,0,1.96,"Mar 8, 2022","Jun 30, 2025",/matthias-kobbing/profil/spieler/227089
227,Timo Hübers,25,"Jul 20, 1996",Germany,KÖLN,,Centre-Back,7.5,24,1,0,2162,0,0,1.9,"Jul 1, 2021","Jun 30, 2024",/timo-hubers/profil/spieler/236981
230,Julian Chabot,24,"Feb 12, 1998",Germany,KÖLN,,Centre-Back,2.0,17,0,0,851,0,0,1.95,"Jan 26, 2022","Jun 30, 2023",/julian-chabot/profil/spieler/303219
233,Jonas Hector,32,"May 27, 1990",Germany,KÖLN,,Left-Back,3.5,33,0,6,2885,0,0,1.85,"Jul 1, 2012","Jun 30, 2023",/jonas-hector/profil/spieler/108537
236,Benno Schmitz,27,"Nov 17, 1994",Germany,KÖLN,,Right-Back,3.0,33,0,5,2606,0,0,1.82,"Jul 1, 2018","Jun 30, 2024",/benno-schmitz/profil/spieler/160968
238,Kingsley Schindler,28,"Jul 12, 1993",Germany,KÖLN,,Right-Back,0.8,20,1,3,499,0,0,1.83,"Jul 1, 2019","Jun 30, 2023",/kingsley-schindler/profil/spieler/153678
240,Ellyes Skhiri,27,"May 10, 1995",Tunisia,KÖLN,,Defensive Midfield,13.0,23,5,1,1864,0,0,1.85,"Jul 29, 2019","Jun 30, 2023",/ellyes-skhiri/profil/spieler/290587
241,Dejan Ljubicic,24,"Oct 8, 1997 ",Austria,KÖLN,,Defensive Midfield,7.5,32,3,1,2166,0,0,1.87,"Jul 1, 2021","Jun 30, 2025",/dejan-ljubicic/profil/spieler/287188
