,Name,Age,date,nationality,club,fee_y,position,market,match,goal,assist,minute,miss,clean,height,join,contract,href
19,Ismaël Bennacer,24,"Dec 1, 1997 ",Algeria,MILAN,,Defensive Midfield,33.0,40,2,1,2100,0,0,1.75,"Aug 4, 2019","Jun 30, 2027",/ismael-bennacer/profil/spieler/351816
20,Tiemoué Bakayoko,27,"Aug 17, 1994",France,MILAN,,Defensive Midfield,10.0,18,0,0,607,0,0,1.89,"Aug 30, 2021","Jun 30, 2023",/tiemoue-bakayoko/profil/spieler/182618
23,Rade Krunic,28,"Oct 7, 1993 ",Bosnia-Herzegovina,MILAN,,Central Midfield,9.0,35,0,1,1810,0,0,1.84,"Jul 8, 2019","Jun 30, 2025",/rade-krunic/profil/spieler/259953
24,Enrico Di Gesù,20,"Mar 26, 2002",Italy,MILAN,,Central Midfield,0.15,31,2,1,2476,0,0,1.84,-,"Jun 30, 2024",/enrico-di-gesu/profil/spieler/582302
25,Brahim Díaz,22,"Aug 3, 1999 ",Spain,MILAN,,Attacking Midfield,18.0,40,4,4,2438,0,0,1.71,"Jul 19, 2021","Jun 30, 2023",/brahim-diaz/profil/spieler/314678
27,Rafael Leão,23,"Jun 10, 1999",Portugal,MILAN,,Left Winger,70.0,42,14,12,3201,0,0,1.88,"Aug 1, 2019","Jun 30, 2024",/rafael-leao/profil/spieler/357164
28,Ante Rebic,28,"Sep 21, 1993",Croatia,MILAN,,Left Winger,17.0,29,3,2,1106,0,0,1.85,"Sep 12, 2020","Jun 30, 2025",/ante-rebic/profil/spieler/187587
29,Alexis Saelemaekers,23,"Jun 27, 1999",Belgium,MILAN,,Right Winger,17.0,46,2,3,2490,0,0,1.8,"Sep 1, 2020","Jun 30, 2026",/alexis-saelemaekers/profil/spieler/381950
33,Olivier Giroud,35,"Sep 30, 1986",France,MILAN,,Centre-Forward,3.5,38,14,4,2520,0,0,1.92,"Jul 17, 2021","Jun 30, 2023",/olivier-giroud/profil/spieler/82442
34,Marko Lazetic,18,"Jan 22, 2004",Serbia,MILAN,,Centre-Forward,3.0,27,7,1,1110,0,0,1.92,"Jan 26, 2022","Jun 30, 2023",/marko-lazetic/profil/spieler/698548
35,Zlatan Ibrahimović,40,"Oct 3, 1981 ",Sweden,MILAN,,Centre-Forward,3.0,27,8,3,1167,0,0,1.95,"Jan 2, 2020","Jun 30, 2023",/zlatan-ibrahimovi%C4%87/profil/spieler/3455
38,Samir Handanovic,37,"Jul 14, 1984",Slovenia,INTER,,Goalkeeper,2.0,50,0,0,4560,40,21,1.93,"Jul 9, 2012","Jun 30, 2023",/samir-handanovic/profil/spieler/28021
